BV2022,Bassin de vie,salair_moy,tx_pauvrete
37130,Ligueil,13.13,11.9
37132,Loches,13.58,13
37159,Monts,15.62,5.5
37196,Richelieu,12.66,15.9
37226,Sainte-Maure-de-Touraine,13.4,12.2
37261,Tours,15.71,14
38001,Les Abrets en Dauphiné,15.24,8.6
38006,Allevard,16.36,7.3
38013,Apprieu,16,6.7
38022,Les Avenières Veyrins-Thuellin,14.84,8.8
38034,Beaurepaire,14.15,13.1
38052,Le Bourg-d'Oisans,15.21,14.4
38053,Bourgoin-Jallieu,16.17,12.9
38085,Charvieu-Chavagneux,15.61,9.1
38130,La Côte-Saint-André,14.67,11.8
38138,Crémieu,17.33,6.3
38140,Crolles,21.67,5.7
38185,Grenoble,17.37,14.5
38189,Heyrieux,17.28,5.2
38247,Montalieu-Vercieu,14.35,9
38261,Morestel,14.97,8.6
38269,La Mure,14.57,13.1
38314,Pontcharra,16.79,7.5
38315,Le Pont-de-Beauvoisin,15.58,9.2
38337,Rives,15.39,10.3
38344,Roussillon,15.12,14.5
38384,Saint-Étienne-de-Saint-Geoirs,15.25,10
38399,Saint-Jean-de-Bournay,15.32,7.6
38412,Saint-Laurent-du-Pont,15.02,9.1
38416,Saint-Marcellin,14.63,12.2
38509,La Tour-du-Pin,15.61,10.6
38511,Le Touvet,18.6,5
38517,Tullins,16.33,9.6
38544,Vienne,16.61,12.6
38545,Vif,17.11,5.5
38548,Villard-de-Lans,16.55,9.3
38553,Villefontaine,15.44,14.4
38557,Villette-d'Anthon,18.64,5
38559,Vinay,15.25,9.6
38562,Vizille,16.52,7.8
38563,Voiron,17.55,9.5
38565,Voreppe,18.08,8.4
39013,Arbois,13.76,12.3
39056,Bletterans,14.09,9.8
39097,Champagnole,13.26,11.2
39128,Chaussin,14.23,11.4
39154,Clairvaux-les-Lacs,13.76,10.2
39198,Dole,14.75,14.4
39300,Lons-le-Saunier,14.1,12.6
39333,Moirans-en-Montagne,14.13,10.6
39368,Hauts de Bienne,12.91,11.7
39397,Orgelet,13.81,8.3
39434,Poligny,14.43,11.2
39470,Les Rousses,14.51,5.4
39475,Saint-Amour,13.58,11.5
39478,Saint-Claude,13.82,13.4
39487,Saint-Laurent-en-Grandvaux,13.63,8.4
39500,Salins-les-Bains,13.55,11.1
39526,Tavaux,15.11,8.7
40001,Aire-sur-l'Adour,13.16,13.8
40046,Biscarrosse,14.78,9.5
40065,Capbreton,16.59,11.8
40075,Castets,13.77,10.7
40088,Dax,13.74,13.3
40119,Hagetmau,13.18,11.7
40133,Labenne,15.97,8.6
40184,Mimizan,13.8,12.5
40192,Mont-de-Marsan,13.52,12.2
40194,Montfort-en-Chalosse,13.34,12.6
40197,Morcenx-la-Nouvelle,13.38,12.2
40217,Parentis-en-Born,13.13,11
